,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
10,90.0v90.0,90.0v89.2,89.2v87.5,89.2v86.7,89.2v85.0,89.2v84.2,89.2v83.4,89.2v81.7,90.0v80.9,90.0v80.9,90.0v80.0,90.8v79.2,90.8v79.2,90.8v80.0,90.8v80.9,90.8v82.5,90.8v84.2,90.0v86.7,90.0v90.0
20,90.0v90.0,88.3v87.5,87.5v85.8,86.7v83.4,85.8v81.7,85.8v80.0,85.8v77.6,86.7v75.9,88.3v74.3,90.0v72.7,91.7v70.2,93.3v68.6,94.2v67.0,94.2v65.4,94.2v63.9,93.3v63.1,92.5v62.3,91.7v64.6,90.0v90.0
30,90.0v90.0,87.5v86.7,85.8v83.4,83.4v80.0,81.7v77.6,80.9v75.1,80.0v72.7,80.9v70.2,84.2v68.6,89.2v66.2,95.8v63.1,99.1v60.7,100.0v57.7,99.1v54.7,98.3v51.1,96.6v46.4,94.2v41.6,92.5v36.2,90.0v146.2
40,90.0v90.0,86.7v82.5,84.2v76.8,80.9v73.5,77.6v70.2,75.1v68.6,72.7v66.2,71.0v63.9,74.3v62.3,87.5v60.0,105.7v56.9,109.0v54.7,107.3v51.1,104.9v47.7,102.4v44.5,99.1v40.6,95.8v37.3,93.3v34.8,90.0v146.2
50,90.0v90.0,86.7v64.6,82.5v60.7,79.2v60.0,75.1v59.2,71.0v58.4,66.2v57.7,60.7v56.2,55.5v54.7,37.3v53.3,124.5v51.1,119.3v49.1,113.8v46.4,109.0v43.3,104.9v40.6,100.8v38.2,97.5v35.9,93.3v34.2,90.0v146.2
60,90.0v146.2,85.8v36.9,81.7v41.6,77.6v45.2,73.5v47.1,67.8v48.4,62.3v48.4,55.5v48.4,45.2v47.7,34.0v46.4,134.8v45.2,124.5v43.3,117.7v41.6,112.2v40.1,106.5v38.2,102.4v36.2,98.3v35.0,94.2v34.1,90.0v146.2
70,90.0v146.2,85.8v34.2,81.7v35.6,77.6v36.9,72.7v38.6,67.0v39.6,60.7v40.6,52.5v40.6,42.2v40.6,33.9v40.6,137.8v39.6,127.5v39.1,119.3v37.7,113.0v36.9,107.3v35.9,102.4v35.0,98.3v34.4,94.2v34.0,90.0v146.2
80,90.0v146.2,85.8v33.8,81.7v34.1,76.8v34.4,71.9v34.8,66.2v35.0,59.2v35.3,51.1v35.6,41.1v35.6,33.9v35.6,138.9v35.6,128.9v35.3,120.8v35.0,113.8v34.8,108.1v34.4,103.2v34.1,98.3v34.0,94.2v33.8,90.0v146.2
89,90.0v146.2,85.8v146.2,81.7v146.2,76.8v33.8,71.9v33.8,66.2v33.8,59.2v33.8,51.1v33.8,40.6v33.8,33.9v33.8,139.4v33.8,128.9v33.8,120.8v33.8,113.8v33.8,108.1v33.8,103.2v33.8,98.3v33.8,94.2v146.2,90.0v146.2
