,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
10,90.0v90.0,90.0v88.3,90.0v86.7,90.0v85.8,90.0v84.2,90.0v83.4,90.0v81.7,90.0v80.9,90.0v80.9,90.0v80.0,90.0v80.0,90.0v80.0,90.0v80.9,90.0v81.7,90.0v82.5,90.0v84.2,90.0v85.8,90.0v87.5,90.0v90.0
20,90.0v90.0,90.8v87.5,90.8v84.2,90.8v81.7,91.7v79.2,91.7v77.6,90.8v75.1,90.8v73.5,90.8v71.9,90.0v71.0,89.2v70.2,89.2v69.4,89.2v70.2,88.3v70.2,88.3v71.9,89.2v74.3,89.2v78.4,89.2v83.4,90.0v90.0
30,90.0v90.0,90.8v85.8,92.5v81.7,92.5v78.4,92.5v75.1,92.5v71.9,92.5v68.6,91.7v66.2,90.8v64.6,90.0v63.1,89.2v61.5,88.3v60.0,87.5v59.2,87.5v59.2,87.5v59.2,87.5v60.0,87.5v61.5,89.2v67.0,90.0v90.0
40,90.0v90.0,92.5v84.2,94.2v79.2,95.0v74.3,95.0v70.2,95.0v66.2,94.2v63.1,92.5v60.0,91.7v57.7,90.0v56.2,88.3v54.0,87.5v51.8,85.8v50.4,85.0v49.1,85.0v47.7,85.0v45.8,85.8v42.8,87.5v37.7,90.0v146.2
50,90.0v90.0,95.0v82.5,97.5v75.1,99.1v69.4,98.3v64.6,97.5v60.0,95.8v56.9,94.2v54.0,91.7v51.8,90.0v49.7,88.3v47.7,85.8v45.8,84.2v43.9,82.5v42.2,81.7v40.6,81.7v38.6,82.5v36.6,85.8v34.6,90.0v146.2
60,90.0v90.0,100.0v76.8,103.2v67.8,104.1v61.5,102.4v56.9,100.0v53.3,98.3v50.4,95.0v47.7,92.5v45.8,90.0v43.9,87.5v42.2,85.0v40.6,81.7v39.6,80.0v38.2,77.6v36.9,75.9v35.6,76.8v34.8,80.0v34.0,90.0v146.2
70,90.0v146.2,111.4v46.4,112.2v47.7,109.8v46.4,106.5v45.2,103.2v43.9,100.0v42.8,96.6v41.6,93.3v40.1,90.0v39.1,86.7v38.2,83.4v37.3,80.0v36.2,76.8v35.6,73.5v35.0,70.2v34.6,67.8v34.1,68.6v33.8,90.0v146.2
80,146.2v146.2,126.7v34.0,120.0v34.6,114.6v35.3,109.8v35.6,105.7v35.9,101.6v35.9,97.5v35.9,93.3v35.6,90.8v35.6,86.7v35.0,82.5v34.8,78.4v34.6,74.3v34.4,70.2v34.1,65.4v34.0,60.0v33.9,53.3v33.8,146.2v146.2
89,146.2v146.2,132.3v146.2,123.1v146.2,116.9v33.8,111.4v33.8,106.5v33.8,101.6v33.8,97.5v33.8,94.2v33.8,90.8v33.8,85.8v33.8,82.5v33.8,78.4v33.8,73.5v33.8,68.6v33.8,63.1v33.8,56.9v33.8,47.7v146.2,146.2v146.2
100,146.2v146.2,126.7v146.2,120.0v146.1,114.6v146.0,109.8v145.9,105.7v145.6,101.6v145.4,97.5v145.2,93.3v145.0,90.8v144.7,86.7v144.4,82.5v144.1,78.4v144.1,74.3v144.1,70.2v144.4,65.4v144.7,60.0v145.4,53.3v146.0,146.2v146.2
110,90.0v146.2,111.4v146.2,112.2v145.9,109.8v145.4,106.5v145.0,103.2v144.4,100.0v143.8,96.6v142.7,93.3v141.8,90.0v140.9,86.7v139.9,83.4v138.4,80.0v137.2,76.8v136.1,73.5v134.8,70.2v133.6,67.8v132.3,68.6v133.6,90.0v146.2
120,90.0v146.2,100.0v146.0,103.2v145.2,104.1v144.4,102.4v143.1,100.0v141.8,98.3v140.4,95.0v139.4,92.5v137.8,90.0v136.1,87.5v134.2,85.0v132.3,81.7v129.6,80.0v126.7,77.6v123.1,75.9v118.5,76.8v112.2,80.0v103.2,90.0v90.0
130,90.0v146.2,94.2v145.4,97.5v143.4,98.3v141.4,98.3v139.4,97.5v137.8,95.8v136.1,94.2v134.2,91.7v132.3,90.0v130.9,88.3v128.2,85.8v126.0,84.2v123.1,82.5v120.0,81.7v115.4,80.9v110.6,82.5v104.9,85.0v97.5,90.0v90.0
140,90.0v146.2,92.5v142.3,94.2v137.2,95.0v134.2,95.0v132.3,95.0v130.9,94.2v129.6,92.5v128.2,91.7v126.0,90.0v124.5,88.3v122.3,87.5v120.0,85.8v116.9,85.0v113.8,85.0v109.8,85.0v105.7,85.8v100.8,87.5v95.8,90.0v90.0
