,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
10,90.0v90.0,90.0v88.3,90.8v86.7,90.8v85.0,90.8v84.2,90.8v82.5,90.8v81.7,90.8v80.9,90.0v80.9,90.0v80.0,90.0v80.0,89.2v80.0,89.2v80.9,89.2v81.7,89.2v83.4,89.2v84.2,89.2v85.8,90.0v88.3,90.0v90.0
20,90.0v90.0,90.8v86.7,92.5v84.2,92.5v81.7,92.5v79.2,92.5v76.8,92.5v74.3,91.7v72.7,90.8v71.0,90.0v70.2,89.2v70.2,88.3v70.2,87.5v71.0,87.5v72.7,87.5v75.1,87.5v78.4,87.5v81.7,89.2v85.8,90.0v90.0
30,90.0v90.0,93.3v85.8,95.8v81.7,96.6v77.6,96.6v74.3,95.8v71.0,95.0v67.8,93.3v64.6,91.7v63.1,90.0v61.5,88.3v60.0,86.7v60.0,85.0v60.7,84.2v62.3,83.4v66.2,83.4v71.0,84.2v77.6,86.7v83.4,90.0v90.0
40,90.0v90.0,98.3v85.0,102.4v79.2,103.2v74.3,101.6v70.2,100.0v65.4,97.5v61.5,95.0v58.4,92.5v55.5,90.0v53.3,87.5v51.1,85.0v49.7,82.5v49.7,80.0v51.1,78.4v54.7,76.8v63.9,77.6v75.9,81.7v84.2,90.0v90.0
50,90.0v90.0,115.4v83.4,114.6v77.6,111.4v71.9,107.3v66.2,104.1v60.7,100.0v56.2,96.6v52.5,93.3v49.1,90.0v46.4,86.7v43.3,83.4v41.6,80.0v39.6,75.9v38.6,72.7v39.1,68.6v60.0,65.4v90.0,64.6v90.8,90.0v90.0
60,146.2v90.0,136.1v82.5,126.0v75.9,118.5v69.4,112.2v63.1,107.3v56.9,102.4v51.8,98.3v47.1,94.2v43.3,90.8v40.6,85.8v37.7,81.7v35.6,77.6v34.2,72.7v146.1,67.8v141.4,61.5v120.8,54.0v104.9,43.9v95.8,146.2v90.0
70,146.2v90.0,140.9v82.5,131.6v75.9,123.1v68.6,115.4v60.7,109.0v54.0,104.1v48.4,99.1v43.3,94.2v39.1,90.8v36.6,85.8v34.4,80.9v146.2,75.9v144.7,71.0v138.9,64.6v128.9,56.9v115.4,48.4v104.9,39.1v97.5,146.2v90.0
80,146.2v90.0,142.3v84.2,133.6v77.6,124.5v70.2,116.9v63.1,110.6v55.5,104.9v47.7,99.1v41.1,95.0v36.6,90.8v34.2,85.0v145.9,80.9v143.1,75.1v136.7,69.4v127.5,63.1v118.5,55.5v109.8,46.4v102.4,37.7v95.8,146.2v90.0
89,146.2v90.0,142.3v85.0,134.2v80.0,125.3v75.1,117.7v69.4,110.6v62.3,104.9v54.7,99.1v45.8,95.0v37.3,90.8v33.8,85.0v142.7,80.9v134.2,75.1v125.3,69.4v117.7,63.1v110.6,54.7v104.9,45.8v100.0,37.7v95.0,146.2v90.0
100,146.2v90.0,142.3v84.2,133.6v77.6,124.5v70.2,116.9v61.5,110.6v52.5,104.9v43.3,99.1v36.9,95.0v34.1,90.8v146.0,85.0v143.4,80.9v138.9,75.1v132.3,69.4v124.5,63.1v116.9,55.5v109.8,46.4v102.4,37.7v95.8,146.2v90.0
110,146.2v90.0,140.9v82.5,131.6v75.1,123.1v64.6,115.4v51.1,109.0v41.1,104.1v35.3,99.1v33.8,94.2v145.6,90.8v144.1,85.8v140.9,80.9v136.7,75.9v131.6,71.0v126.0,64.6v119.3,56.9v111.4,48.4v104.1,39.1v97.5,146.2v90.0
120,146.2v90.0,136.1v84.2,126.0v75.1,118.5v59.2,112.2v38.6,107.3v33.9,102.4v145.8,98.3v144.4,94.2v142.3,90.8v139.9,85.8v136.7,81.7v132.9,77.6v128.2,72.7v123.1,67.8v116.9,61.5v110.6,54.0v104.1,43.9v97.5,146.2v90.0
130,90.0v90.0,115.4v89.2,114.6v90.0,111.4v120.0,107.3v140.9,104.1v141.4,100.0v140.4,96.6v138.4,93.3v136.7,90.0v134.2,86.7v130.9,83.4v127.5,80.0v123.8,75.9v119.3,72.7v113.8,68.6v108.1,65.4v102.4,64.6v96.6,90.0v90.0
140,90.0v90.0,98.3v95.8,102.4v104.1,103.2v116.1,101.6v125.3,100.0v128.9,97.5v130.3,95.0v130.3,92.5v128.9,90.0v127.5,87.5v124.5,85.0v121.6,82.5v118.5,80.0v114.6,78.4v109.8,76.8v105.7,77.6v100.8,81.7v95.0,90.0v90.0
