,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
10,90.0v90.0,90.0v88.3,90.8v86.7,90.8v85.0,90.8v84.2,90.8v82.5,90.8v81.7,90.8v80.9,90.8v80.0,90.0v80.0,90.0v80.0,90.0v80.0,89.2v80.9,89.2v81.7,89.2v83.4,89.2v84.2,89.2v85.8,90.0v88.3,90.0v90.0
20,90.0v90.0,91.7v86.7,92.5v84.2,93.3v80.9,93.3v78.4,93.3v75.9,93.3v74.3,92.5v72.7,91.7v71.0,90.8v70.2,90.0v70.2,89.2v70.2,88.3v71.0,87.5v72.7,87.5v75.1,87.5v78.4,88.3v82.5,89.2v85.8,90.0v90.0
30,90.0v90.0,94.2v85.8,96.6v81.7,98.3v77.6,98.3v74.3,97.5v70.2,95.8v67.8,94.2v64.6,92.5v63.1,90.8v61.5,89.2v60.0,87.5v60.0,85.8v60.7,84.2v63.1,83.4v67.0,83.4v72.7,84.2v78.4,86.7v84.2,90.0v90.0
40,90.0v90.0,101.6v85.0,105.7v79.2,105.7v74.3,104.1v70.2,101.6v65.4,99.1v61.5,96.6v57.7,94.2v54.7,91.7v52.5,88.3v50.4,85.0v49.7,82.5v49.7,80.0v51.1,78.4v56.9,76.8v68.6,76.8v80.0,80.9v86.7,90.0v90.0
50,146.2v90.0,125.3v84.2,119.3v77.6,114.6v71.9,109.8v66.2,105.7v60.7,101.6v56.2,98.3v51.8,94.2v48.4,91.7v45.8,87.5v42.8,84.2v40.6,80.0v39.1,76.8v37.7,72.7v38.2,68.6v90.8,64.6v93.3,61.5v91.7,90.0v90.0
60,146.2v90.0,139.4v83.4,129.6v76.8,120.8v70.2,114.6v63.1,109.0v57.7,104.1v51.8,100.0v47.1,95.0v43.3,91.7v40.1,86.7v36.9,82.5v35.0,78.4v33.8,73.5v144.7,67.8v133.6,61.5v114.6,54.0v103.2,43.3v95.8,146.2v90.0
70,146.2v90.0,141.8v83.4,133.6v76.8,125.3v69.4,117.7v62.3,111.4v55.5,105.7v49.1,100.8v43.3,95.8v39.1,91.7v36.2,86.7v34.1,82.5v145.9,77.6v143.1,71.9v134.8,65.4v123.1,57.7v112.2,49.1v103.2,39.1v96.6,146.2v90.0
80,146.2v90.0,142.7v84.2,134.8v78.4,126.7v71.9,119.3v64.6,112.2v56.9,106.5v49.1,101.6v42.2,96.6v36.9,92.5v34.2,87.5v145.6,82.5v141.4,77.6v133.6,71.9v124.5,64.6v115.4,56.9v108.1,47.7v101.6,38.2v95.8,146.2v90.0
89,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
