,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
10,90.0v90.0,90.0v88.3,90.8v86.7,90.8v85.0,90.8v84.2,90.8v82.5,90.8v81.7,90.8v80.9,90.0v80.9,90.0v80.0,90.0v80.0,90.0v80.0,89.2v80.9,89.2v81.7,89.2v83.4,89.2v84.2,89.2v85.8,90.0v88.3,90.0v90.0
20,90.0v90.0,90.8v87.5,91.7v84.2,92.5v81.7,92.5v79.2,92.5v76.8,92.5v74.3,91.7v72.7,90.8v71.0,90.0v70.2,89.2v70.2,88.3v70.2,88.3v71.0,87.5v71.9,87.5v74.3,87.5v77.6,88.3v81.7,89.2v85.0,90.0v90.0
30,90.0v90.0,93.3v85.8,95.0v81.7,95.8v77.6,95.8v74.3,95.8v71.0,94.2v67.8,93.3v65.4,91.7v63.1,90.0v61.5,88.3v60.0,87.5v60.0,85.8v60.7,85.0v61.5,84.2v63.9,84.2v68.6,85.8v74.3,87.5v81.7,90.0v90.0
40,90.0v90.0,97.5v85.0,100.8v79.2,101.6v74.3,100.8v70.2,99.1v65.4,97.5v61.5,95.0v58.4,92.5v56.2,90.8v54.0,87.5v51.8,85.8v50.4,83.4v49.7,80.9v50.4,79.2v52.5,79.2v56.2,80.0v64.6,83.4v76.8,90.0v90.0
50,90.0v90.0,110.6v83.4,111.4v76.8,109.8v71.0,106.5v65.4,103.2v60.7,100.0v56.2,96.6v52.5,93.3v49.7,90.8v47.1,86.7v44.5,84.2v42.8,80.9v41.1,77.6v40.1,74.3v40.1,71.0v41.1,69.4v49.7,71.0v78.4,90.0v90.0
60,146.2v90.0,133.6v82.5,123.8v75.1,116.9v67.8,111.4v61.5,106.5v56.2,102.4v51.1,98.3v47.1,94.2v43.9,90.8v41.6,86.7v38.6,82.5v36.9,78.4v35.3,74.3v34.4,69.4v33.8,63.9v145.4,56.9v134.2,47.7v102.4,146.2v90.0
70,146.2v90.0,140.4v80.9,130.9v72.7,122.3v64.6,115.4v57.7,109.0v51.8,104.1v47.1,99.1v42.8,95.0v39.6,90.8v37.3,85.8v35.3,81.7v34.1,76.8v146.2,71.9v145.2,65.4v142.3,58.4v134.2,49.7v120.0,40.1v104.1,146.2v90.0
80,146.2v90.0,142.3v80.9,133.6v71.9,124.5v63.1,116.9v55.5,110.6v49.1,104.9v43.3,100.0v39.1,95.0v36.2,90.8v34.6,85.8v33.8,80.9v145.8,75.9v143.8,70.2v139.9,63.9v132.3,55.5v122.3,47.1v111.4,38.2v100.0,146.2v90.0
89,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
