,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
10,90.0v90.0,90.8v88.3,91.7v86.7,92.5v85.0,92.5v83.4,92.5v81.7,91.7v80.9,91.7v80.0,90.8v79.2,90.0v80.0,89.2v80.0,88.3v80.9,88.3v82.5,87.5v84.2,87.5v85.0,87.5v86.7,88.3v87.5,89.2v89.2,90.0v90.0
20,90.0v90.0,95.0v86.7,98.3v83.4,99.1v80.0,99.1v76.8,97.5v73.5,95.8v71.0,94.2v68.6,91.7v67.0,90.0v67.0,88.3v68.6,85.8v72.7,84.2v78.4,82.5v84.2,80.9v87.5,80.9v89.2,81.7v90.0,85.0v90.0,90.0v90.0
30,90.0v90.0,116.1v85.8,114.6v80.9,111.4v76.8,108.1v71.9,104.1v67.0,100.0v63.1,96.6v58.4,93.3v54.7,90.0v51.1,86.7v49.1,83.4v51.8,80.0v99.1,75.9v102.4,71.9v100.0,68.6v98.3,65.4v95.0,63.9v92.5,90.0v90.0
40,146.2v90.0,138.4v85.0,128.2v80.0,120.0v75.1,113.8v69.4,108.1v63.9,103.2v57.7,98.3v51.1,94.2v45.2,90.8v39.6,85.8v34.1,81.7v141.4,76.8v126.7,71.9v116.1,66.2v109.0,60.0v103.2,51.8v98.3,41.6v94.2,146.2v90.0
50,146.2v90.0,141.8v85.0,132.3v80.0,123.8v74.3,116.1v68.6,109.8v62.3,104.1v55.5,99.1v47.7,94.2v40.1,90.8v35.0,85.8v145.4,80.9v137.8,75.9v127.5,70.2v117.7,63.9v110.6,56.2v104.9,47.7v99.1,38.2v95.0,146.2v90.0
60,146.2v90.0,142.3v85.0,133.6v80.0,124.5v75.1,116.9v68.6,110.6v62.3,104.9v54.7,99.1v46.4,95.0v38.2,90.8v34.1,85.0v143.8,80.9v136.1,75.1v126.7,69.4v117.7,63.1v111.4,55.5v104.9,46.4v99.1,37.7v95.0,146.2v90.0
70,146.2v90.0,142.3v85.0,134.2v80.0,125.3v75.1,116.9v69.4,110.6v62.3,104.9v54.7,99.1v45.8,95.0v37.7,90.8v33.9,85.0v143.1,80.9v134.8,75.1v126.0,69.4v117.7,63.1v110.6,54.7v104.9,45.8v100.0,37.7v95.0,146.2v90.0
80,146.2v90.0,142.3v85.0,134.2v80.9,125.3v75.1,117.7v69.4,110.6v62.3,104.9v54.7,99.1v45.8,95.0v37.7,90.8v33.8,85.0v142.7,80.9v134.2,75.1v125.3,69.4v117.7,62.3v110.6,54.7v104.9,45.8v99.1,37.7v95.0,146.2v90.0
89,146.2v90.0,142.3v85.0,134.2v80.9,125.3v75.1,117.7v69.4,110.6v62.3,104.9v54.7,99.1v45.8,95.0v37.7,90.8v33.8,85.0v142.3,80.9v134.2,75.1v125.3,69.4v117.7,63.1v110.6,54.7v104.9,45.8v99.1,37.7v95.0,146.2v90.0
