,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
10,90.0v90.0,89.2v89.2,88.3v88.3,87.5v87.5,87.5v85.8,87.5v85.0,87.5v84.2,88.3v82.5,89.2v81.7,90.0v80.9,90.8v80.0,91.7v78.4,92.5v78.4,92.5v78.4,92.5v78.4,92.5v80.0,91.7v81.7,90.8v85.0,90.0v90.0
20,90.0v90.0,87.5v89.2,85.0v87.5,83.4v85.8,81.7v84.2,80.0v82.5,79.2v80.0,80.0v78.4,84.2v75.9,89.2v73.5,95.8v71.0,100.0v68.6,100.8v65.4,100.0v62.3,98.3v59.2,96.6v55.5,95.0v50.4,92.5v42.8,90.0v146.2
30,90.0v90.0,86.7v87.5,83.4v85.0,79.2v82.5,75.9v80.0,71.9v77.6,67.8v75.1,63.9v72.7,60.7v70.2,72.7v67.8,119.3v64.6,116.1v60.7,112.2v56.9,108.1v53.3,104.1v49.1,100.8v43.9,96.6v39.1,93.3v35.3,90.0v146.2
40,90.0v90.0,85.8v79.2,81.7v74.3,77.6v71.9,72.7v71.0,67.0v69.4,60.7v67.8,53.3v65.4,42.8v63.1,33.9v61.5,137.2v57.7,126.7v54.7,119.3v51.1,113.0v47.7,107.3v43.9,102.4v40.6,98.3v36.9,94.2v34.6,90.0v146.2
50,90.0v146.2,85.8v45.8,80.9v52.5,76.8v56.2,71.0v57.7,65.4v58.4,57.7v57.7,49.1v56.9,39.6v55.5,33.8v54.0,140.4v51.8,130.9v49.1,122.3v46.4,114.6v43.3,109.0v40.6,103.2v38.2,99.1v35.9,94.2v34.2,90.0v146.2
60,90.0v146.2,85.8v35.6,80.9v39.6,75.9v43.3,70.2v45.8,63.9v47.7,56.9v48.4,47.7v48.4,38.6v47.7,33.8v47.1,141.4v45.2,132.3v43.9,123.1v42.2,116.1v40.1,109.8v38.2,104.1v36.6,99.1v35.0,94.2v34.1,90.0v146.2
70,90.0v146.2,85.8v34.2,80.9v35.3,75.9v36.9,70.2v38.2,63.9v39.6,56.2v40.1,47.7v40.6,38.2v40.6,33.8v40.6,141.8v39.6,132.3v39.1,123.8v38.2,116.1v36.9,109.8v35.9,104.1v35.0,99.1v34.4,94.2v34.0,90.0v146.2
80,90.0v146.2,85.8v33.8,80.9v34.1,75.9v34.4,70.2v34.8,63.9v35.0,56.2v35.3,47.1v35.6,38.2v35.6,33.8v35.6,141.8v35.6,132.9v35.3,123.8v35.0,116.1v34.8,109.8v34.4,104.1v34.1,99.1v34.0,94.2v33.8,90.0v146.2
89,90.0v146.2,85.8v146.2,80.9v146.2,75.9v33.8,70.2v33.8,63.9v33.8,56.2v33.8,47.1v33.8,38.2v33.8,33.8v33.8,141.8v33.8,132.9v33.8,123.8v33.8,116.1v33.8,109.8v33.8,104.1v33.8,99.1v33.8,94.2v146.2,90.0v146.2
