,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
10,90.0v90.0,90.8v88.3,90.8v86.7,91.7v85.0,91.7v83.4,91.7v82.5,91.7v80.9,90.8v80.0,90.8v80.0,90.0v80.0,89.2v80.0,89.2v80.9,88.3v81.7,88.3v82.5,88.3v84.2,88.3v85.8,89.2v86.7,89.2v88.3,90.0v90.0
20,90.0v90.0,92.5v86.7,95.0v83.4,95.8v80.9,95.8v77.6,95.8v75.1,94.2v72.7,93.3v71.0,91.7v69.4,90.0v69.4,88.3v69.4,86.7v71.0,85.8v74.3,84.2v77.6,84.2v81.7,84.2v85.0,85.0v86.7,87.5v88.3,90.0v90.0
30,90.0v90.0,100.8v85.8,104.9v81.7,104.9v76.8,103.2v72.7,100.8v68.6,98.3v64.6,95.8v61.5,92.5v59.2,90.0v56.9,87.5v56.2,84.2v58.4,81.7v67.0,79.2v80.0,76.8v88.3,75.1v90.8,75.1v91.7,79.2v90.8,90.0v90.0
40,146.2v90.0,128.2v85.0,120.8v80.0,114.6v75.1,109.8v69.4,105.7v64.6,101.6v59.2,97.5v54.0,93.3v49.7,90.8v45.8,86.7v41.6,82.5v37.3,78.4v140.4,74.3v111.4,70.2v104.9,65.4v100.0,59.2v96.6,51.8v93.3,146.2v90.0
50,146.2v90.0,139.9v85.0,129.6v79.2,121.6v74.3,114.6v67.8,108.1v62.3,103.2v55.5,98.3v49.1,94.2v43.3,90.8v38.2,85.8v34.1,81.7v144.1,76.8v132.3,71.9v120.0,65.4v110.6,58.4v104.1,50.4v99.1,40.1v94.2,146.2v90.0
60,146.2v90.0,141.8v85.0,132.9v80.0,123.8v74.3,116.1v67.8,109.8v61.5,104.1v54.0,99.1v46.4,94.2v39.6,90.8v35.0,85.8v145.6,80.9v139.4,75.9v128.9,70.2v119.3,63.9v111.4,56.2v105.7,47.1v100.0,38.2v95.0,146.2v90.0
70,146.2v90.0,142.3v85.0,133.6v80.0,125.3v75.1,116.9v68.6,110.6v61.5,104.9v54.0,99.1v45.2,95.0v37.7,90.8v34.0,85.0v143.8,80.9v136.1,75.1v126.7,69.4v118.5,63.1v111.4,54.7v104.9,46.4v100.0,37.7v95.0,146.2v90.0
80,146.2v90.0,142.3v85.0,134.2v80.0,125.3v75.1,116.9v69.4,110.6v62.3,104.9v54.7,99.1v45.8,95.0v37.3,90.8v33.8,85.0v142.7,80.9v134.8,75.1v126.0,69.4v117.7,63.1v110.6,54.7v104.9,45.8v100.0,37.7v95.0,146.2v90.0
89,146.2v90.0,142.3v85.0,134.2v80.9,125.3v75.1,117.7v69.4,110.6v62.3,104.9v54.7,99.1v45.8,95.0v37.7,90.8v33.8,85.0v142.3,80.9v134.2,75.1v125.3,69.4v117.7,63.1v110.6,54.7v104.9,45.8v99.1,37.7v95.0,146.2v90.0
100,146.2v90.0,142.3v85.0,134.2v80.0,125.3v75.1,116.9v69.4,110.6v62.3,104.9v54.0,99.1v45.2,95.0v37.3,90.8v33.8,85.0v142.7,80.9v134.2,75.1v125.3,69.4v117.7,63.1v110.6,54.7v104.9,45.8v100.0,37.7v95.0,146.2v90.0
