,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
10,90.0v90.0,90.0v88.3,90.8v86.7,90.8v85.0,90.8v84.2,90.8v82.5,90.8v81.7,90.8v80.9,90.0v80.9,90.0v80.0,90.0v80.0,90.0v80.0,89.2v80.9,89.2v81.7,89.2v83.4,89.2v84.2,89.2v85.8,90.0v88.3,90.0v90.0
20,90.0v90.0,90.8v86.7,92.5v84.2,92.5v81.7,93.3v79.2,93.3v76.8,92.5v74.3,91.7v72.7,90.8v71.0,90.0v70.2,89.2v70.2,88.3v70.2,88.3v71.0,87.5v72.7,87.5v75.1,87.5v77.6,88.3v81.7,89.2v85.8,90.0v90.0
30,90.0v90.0,93.3v85.8,95.8v81.7,96.6v77.6,96.6v74.3,96.6v71.0,95.0v67.8,93.3v65.4,92.5v63.1,90.8v61.5,89.2v60.0,86.7v60.0,85.8v60.7,85.0v62.3,84.2v65.4,84.2v70.2,85.0v75.9,87.5v82.5,90.0v90.0
40,90.0v90.0,98.3v85.0,102.4v79.2,103.2v74.3,102.4v70.2,100.0v65.4,98.3v61.5,95.8v58.4,93.3v55.5,90.8v53.3,87.5v51.1,85.8v50.4,83.4v49.7,80.9v50.4,79.2v54.0,77.6v60.0,78.4v71.9,82.5v81.7,90.0v90.0
50,90.0v90.0,116.1v83.4,114.6v77.6,111.4v71.0,108.1v66.2,104.1v60.7,100.8v56.2,97.5v52.5,94.2v49.1,90.8v46.4,87.5v43.9,84.2v42.2,80.0v40.6,76.8v39.6,73.5v39.6,70.2v45.2,67.0v80.9,67.8v89.2,90.0v90.0
60,146.2v90.0,136.7v82.5,126.0v75.9,118.5v68.6,113.0v62.3,107.3v56.9,103.2v51.8,99.1v47.1,94.2v43.3,90.8v41.1,86.7v38.2,82.5v36.2,78.4v34.6,73.5v33.8,68.6v145.2,63.1v132.9,55.5v109.0,45.8v96.6,146.2v90.0
70,146.2v90.0,141.4v82.5,132.3v74.3,123.8v67.0,116.1v60.0,109.8v53.3,104.1v47.7,100.0v42.8,95.0v39.6,90.8v36.9,85.8v34.6,81.7v33.8,76.8v145.6,71.9v142.7,65.4v134.2,57.7v120.8,49.1v108.1,39.6v98.3,146.2v90.0
80,146.2v90.0,142.7v83.4,134.2v75.9,125.3v68.6,117.7v60.7,111.4v52.5,105.7v45.8,100.0v40.6,95.0v36.6,90.8v34.4,85.8v146.1,81.7v144.4,75.9v139.9,70.2v132.3,63.9v122.3,56.2v113.0,47.1v104.1,38.2v96.6,146.2v90.0
89,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
