,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
10,90.0v90.0,90.0v88.3,90.8v86.7,90.8v85.0,90.8v84.2,90.8v83.4,90.8v81.7,90.8v80.9,90.0v80.9,90.0v80.0,90.0v80.0,90.0v80.0,89.2v80.9,89.2v81.7,89.2v83.4,89.2v84.2,90.0v85.8,90.0v88.3,90.0v90.0
20,90.0v90.0,90.8v87.5,91.7v84.2,92.5v81.7,92.5v79.2,92.5v76.8,92.5v74.3,91.7v72.7,90.8v71.0,90.0v70.2,89.2v70.2,88.3v70.2,88.3v71.0,87.5v71.9,87.5v74.3,87.5v76.8,88.3v80.9,89.2v85.0,90.0v90.0
30,90.0v90.0,92.5v85.8,94.2v81.7,95.8v77.6,95.8v74.3,95.0v71.0,94.2v67.8,92.5v65.4,91.7v63.1,90.0v62.3,88.3v60.7,87.5v60.0,85.8v60.0,85.0v61.5,84.2v63.1,85.0v67.0,85.8v72.7,87.5v80.9,90.0v90.0
40,90.0v90.0,95.8v85.0,100.0v79.2,100.8v74.3,100.0v70.2,98.3v65.4,96.6v62.3,95.0v59.2,92.5v56.2,90.0v54.0,87.5v51.8,85.8v51.1,83.4v50.4,81.7v50.4,80.0v51.1,80.0v54.0,80.9v59.2,84.2v70.2,90.0v90.0
50,90.0v90.0,107.3v83.4,109.8v76.8,108.1v71.0,105.7v65.4,102.4v60.7,99.1v56.2,96.6v52.5,93.3v49.7,90.8v47.7,86.7v45.2,84.2v43.3,80.9v41.6,77.6v40.6,75.1v40.1,72.7v40.1,71.0v41.1,73.5v43.9,90.0v146.2
60,146.2v90.0,130.3v81.7,121.6v74.3,115.4v67.0,110.6v60.7,105.7v55.5,101.6v51.1,97.5v47.7,94.2v43.9,90.8v41.6,86.7v39.6,82.5v37.7,78.4v36.2,74.3v35.0,69.4v34.2,64.6v33.8,59.2v146.1,50.4v145.4,146.2v146.2
70,146.2v90.0,139.9v80.0,129.6v71.0,121.6v63.1,114.6v56.2,109.0v50.4,103.2v46.4,99.1v42.8,94.2v39.6,90.8v37.7,85.8v35.6,81.7v34.4,76.8v33.8,71.9v146.1,66.2v145.4,59.2v143.1,51.1v138.9,40.6v131.6,146.2v90.0
80,146.2v90.0,141.8v76.8,132.9v65.4,124.5v56.9,116.9v49.7,110.6v45.2,104.9v41.1,99.1v38.2,95.0v36.2,90.8v34.8,85.8v34.0,80.9v146.2,75.9v145.6,70.2v144.1,63.9v141.8,56.2v137.8,47.1v131.6,38.2v120.0,146.2v90.0
89,146.2v146.2,142.3v34.4,134.2v35.3,125.3v35.6,117.7v35.6,110.6v35.0,104.9v34.6,100.0v34.2,95.0v34.0,90.8v33.8,85.8v146.2,80.9v146.0,75.1v145.8,69.4v145.4,63.1v145.2,54.7v145.0,45.8v145.4,37.7v145.9,146.2v146.2
