,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
10,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
20,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
30,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
40,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
50,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
60,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
70,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
80,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
89,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
100,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
110,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
120,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
130,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
140,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
150,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
160,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
170,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
180,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
